Year,Unenployment Rates,Population,Avg Price,Inflation,Interest,Vacancy,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01,8.2,277.8,207100,1.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,8.3,277.8,203400,1.9,1,3.3,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,9.3,277.8,202000,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,11.3,277.8,204900,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,11.6,277.8,206900,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,11.3,277.8,209100,1.9,1,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,9.3,277.9,214100,1.9,1,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,9.5,278,213500,1.9,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,9.6,278.1,211200,2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,9.9,278,216100,2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,9.3,278,216900,2.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,8.9,278,220200,2.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,8.6,278.1,218100,2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,8.2,278,219800,2.1,0.75,2.2,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,7,278.1,218700,2.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,6.7,278.1,221900,2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,6.4,278.2,229100,2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,6.2,278.2,234500,1.9,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,5.9,278.4,233800,1.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,5.6,278.5,232800,1.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,5.9,278.8,243200,1.7,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,5.3,279.1,245200,1.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,4.7,279.5,251100,1.4,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,4.9,279.8,256300,1.2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,4.9,280,261700,1.3,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,5.4,280.3,256000,1.2,0.75,2.2,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,5.5,280.6,264000,1.2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,5.6,280.9,267700,1.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,5.4,281.2,274900,1.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,5.4,281.5,270900,1,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,5.7,281.8,274600,1.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,6.8,282.2,273700,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,6.8,282.8,276700,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,6.2,283.4,279000,1.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,6.5,284,274900,1.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,5.4,284.6,280700,1.4,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,5.4,285.2,274200,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,4.6,285.8,293000,1.6,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,5.2,286.4,297700,1.7,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,5.6,287.1,298900,1.7,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,5.9,287.7,304800,1.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,6,288.4,315300,1.7,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,5.9,289,317000,1.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,6.6,289.7,321600,1.9,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,7.6,290.3,327100,1.9,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,7.9,290.9,331800,1.7,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,6.9,291.3,341100,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,5.6,291.8,336300,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,5,292.2,342700,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,5.1,292.7,346400,1.8,2,2.6,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,5.4,293.1,351200,1.9,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,5.9,293.5,351400,1.9,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,5.8,293.9,351000,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,5.3,294.4,351600,2.1,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,5.1,294.9,356700,2.1,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,6,295.6,361000,2.2,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01,7.2,296.2,362700,2.1,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,7.6,297,367200,2.4,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,7.1,297.7,370000,2.3,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-01,7.1,298.3,373300,2.4,2,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,7.2,298.9,379900,2.3,2,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,8.4,299.4,385700,2.3,2,3.2,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,8.3,299.9,392800,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,11,300.4,389500,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,13.1,300.9,381000,1.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,17.2,301.4,383400,1.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,15.9,301.8,387400,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,14,302.3,401200,1.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,12.3,302.8,418100,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,11.3,303.3,432300,1.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,11.8,303.7,443500,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,10,304,452100,1.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,10.4,304.2,460300,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,9.6,304.4,473500,1.6,0.5,3.2,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,10.7,304.5,480200,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,10.4,304.6,505200,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,11.1,304.8,523400,2.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,11,304.9,537800,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,11.2,305,551300,2.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,11,305.1,560300,2.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,10.7,305.3,563400,2.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,11,305.6,570600,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,9.4,305.9,584400,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,8,306.1,603400,3.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,6.5,306.5,612200,3.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,7.9,306.9,626100,3.7,0.5,1.9,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,8.4,307.2,650600,4,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,8.6,307.6,673200,4.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,6.5,307.9,670800,4.9,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01,6.5,308.1,661900,5.4,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,6.1,308.4,641900,5.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,7.3,308.6,622000,5.8,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-01,8.2,308.9,593800,5.8,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,9.2,309.2,582100,5.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,8.8,309.5,573500,5.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,7.8,309.9,574200,6.1,4,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,6.9,310.3,568200,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,5.9,310.8,564700,6.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,5.7,311.4,550900,5.9,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,6.3,312.1,539800,5.7,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,6.4,312.8,542000,5.6,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,6.2,313.7,548500,5.2,4.75,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,5.4,314.5,564600,5.1,5,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,5.9,315.5,574800,4.8,5.25,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,6.5,316.5,594000,4.8,5.25,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,6.7,317.5,590000,4.4,5.25,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,7.4,318.6,591000,4.2,5.25,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,7.1,319.6,581800,3.9,5.25,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,7.2,320.6,585400,3.9,5.25,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,6.6,321.7,582500,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
